t,a,s,da,D,B,S,out,run_out,P_out,dA_plus,dA_relief,A,E_rev,dA,dE,Recovery_H,EdgeZero_H,r,IRR_ADM
1,+0.150000,8.200000,+0.000000,0.000000,0.150000,0.820000,0,0,0.000000,0.000000,0.019125,0.000000,0.951500,+0.000000,+0.000000,FALSE,FALSE,R0,CONTINUE
2,+0.250000,8.400000,+0.100000,0.666667,0.250000,0.840000,1,1,0.125000,0.125000,0.005000,0.120000,0.891125,+0.120000,-0.060375,FALSE,FALSE,R0,CONTINUE
3,+0.400000,8.700000,+0.150000,1.000000,0.400000,0.870000,1,2,0.250000,0.125000,0.000000,0.245000,0.818094,+0.125000,-0.073031,FALSE,FALSE,R0,CONTINUE
4,+0.600000,9.000000,+0.200000,1.000000,0.600000,0.900000,1,3,0.375000,0.125000,0.000000,0.370000,0.733070,+0.125000,-0.085023,FALSE,FALSE,R0,CONTINUE
5,+0.800000,9.300000,+0.200000,1.000000,0.800000,0.930000,1,4,0.500000,0.125000,0.000000,0.495000,0.639053,+0.125000,-0.094018,FALSE,FALSE,R0,CONTINUE
6,+0.900000,9.500000,+0.100000,0.666667,0.900000,0.950000,1,5,0.625000,0.125000,0.000208,0.619792,0.543821,+0.124792,-0.095232,FALSE,TRUE,E0,ABSTAIN
7,+0.600000,8.200000,-0.300000,1.000000,0.600000,0.820000,0,0,0.000000,0.000000,0.000000,0.619792,0.493897,+0.000000,-0.049924,FALSE,TRUE,E0,ABSTAIN
8,+0.350000,6.800000,-0.250000,1.000000,0.350000,0.680000,0,0,0.000000,0.000000,0.000000,0.619792,0.475954,+0.000000,-0.017943,FALSE,TRUE,E0,ABSTAIN
9,+0.200000,5.500000,-0.150000,1.000000,0.200000,0.550000,0,0,0.000000,0.000000,0.000000,0.619792,0.476497,+0.000000,+0.000543,FALSE,FALSE,I1,ABSTAIN
10,+0.120000,4.600000,-0.080000,0.533333,0.120000,0.460000,0,0,0.000000,0.000000,0.027720,0.592072,0.489562,-0.027720,+0.013065,FALSE,FALSE,I1,ABSTAIN
11,+0.080000,3.800000,-0.040000,0.266667,0.080000,0.380000,0,0,0.000000,0.000000,0.052287,0.539785,0.513204,-0.052287,+0.023642,FALSE,FALSE,I1,ABSTAIN
12,+0.050000,3.200000,-0.030000,0.200000,0.050000,0.320000,0,0,0.000000,0.000000,0.064600,0.475185,0.545125,-0.064600,+0.031921,FALSE,FALSE,I1,ABSTAIN
13,+0.030000,2.700000,-0.020000,0.133333,0.030000,0.270000,0,0,0.000000,0.000000,0.076711,0.398474,0.584073,-0.076711,+0.038948,TRUE,FALSE,I1,ABSTAIN
14,+0.020000,2.300000,-0.010000,0.066667,0.020000,0.230000,0,0,0.000000,0.000000,0.088037,0.310438,0.628989,-0.088037,+0.044916,TRUE,FALSE,I1,ABSTAIN
15,+0.010000,2.000000,-0.010000,0.066667,0.010000,0.200000,0,0,0.000000,0.000000,0.092400,0.218037,0.678536,-0.092400,+0.049547,TRUE,FALSE,I1,ABSTAIN
16,+0.010000,1.800000,+0.000000,0.000000,0.010000,0.180000,0,0,0.000000,0.000000,0.101475,0.116562,0.731918,-0.101475,+0.053382,TRUE,FALSE,I1,ABSTAIN
