t,a,s,da,D,B,S,out,run_out,P_out,dA_plus,dA_relief,A,E_rev,dA,dE,Recovery_H,EdgeZero_H,r,IRR_ADM
1,+0.100000,8.500000,+0.000000,0.000000,0.100000,0.850000,0,0,0.000000,0.000000,0.016875,0.000000,0.952500,+0.000000,+0.000000,FALSE,FALSE,R0,CONTINUE
2,+0.180000,8.700000,+0.080000,0.533333,0.180000,0.870000,1,1,0.125000,0.125000,0.006218,0.118782,0.894058,+0.118782,-0.058442,FALSE,FALSE,R0,CONTINUE
3,+0.270000,8.900000,+0.090000,0.600000,0.270000,0.890000,1,2,0.250000,0.125000,0.004015,0.239767,0.826578,+0.120985,-0.067479,FALSE,FALSE,R0,CONTINUE
4,+0.370000,9.100000,+0.100000,0.666667,0.370000,0.910000,1,3,0.375000,0.125000,0.002363,0.362404,0.751573,+0.122638,-0.075005,FALSE,FALSE,R0,CONTINUE
5,+0.480000,9.300000,+0.110000,0.733333,0.480000,0.930000,1,4,0.500000,0.125000,0.001213,0.486191,0.670251,+0.123787,-0.081322,FALSE,FALSE,R0,CONTINUE
6,+0.600000,9.500000,+0.120000,0.800000,0.600000,0.950000,1,5,0.625000,0.125000,0.000500,0.610691,0.583585,+0.124500,-0.086666,FALSE,TRUE,E0,ABSTAIN
7,+0.730000,9.700000,+0.130000,0.866667,0.730000,0.970000,1,6,0.750000,0.125000,0.000135,0.735556,0.492355,+0.124865,-0.091230,FALSE,TRUE,E0,ABSTAIN
8,+0.870000,9.900000,+0.140000,0.933333,0.870000,0.990000,1,7,0.875000,0.125000,0.000011,0.860545,0.397185,+0.124989,-0.095171,FALSE,TRUE,E0,ABSTAIN
9,+0.980000,10.000000,+0.110000,0.733333,0.980000,1.000000,1,8,1.000000,0.125000,0.000000,0.985545,0.301057,+0.125000,-0.096128,FALSE,TRUE,E0,ABSTAIN
10,+1.000000,10.000000,+0.020000,0.133333,1.000000,1.000000,1,9,1.000000,0.125000,0.000000,1.000000,0.225793,+0.014455,-0.075264,FALSE,TRUE,E0,ABSTAIN
11,+1.000000,10.000000,+0.000000,0.000000,1.000000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.169344,+0.000000,-0.056448,FALSE,TRUE,E0,ABSTAIN
12,+1.000000,10.000000,+0.000000,0.000000,1.000000,1.000000,0,0,0.000000,0.000000,0.000000,1.000000,0.127008,+0.000000,-0.042336,FALSE,TRUE,E0,ABSTAIN
